vbd_rank,tier,player_name,position,team,shrunk_ppg,vbd
433,13,Jesper Horsted,TE,LV,2.1387871125260163,-121.6807046169428
434,13,Ben Yurosek,TE,MIN,2.1272215198155147,-121.87731969302133
435,13,Dyami Brown,WR,JAX,4.260145274686089,-121.9309130709641
436,13,Damien Harris,RB,BUF,4.139335923700866,-122.00549962628133
437,13,Jaylin Noel,WR,HOU,4.240737964562273,-122.26083734306896
438,13,Trevon Wesco,TE,TEN,2.1022215198155147,-122.30231969302132
439,13,Harrison Bryant,TE,HOU,2.100859943154393,-122.32546649626039
440,13,Joshua Dobbs,QB,NE,9.49016724678772,-122.32686088506156
441,13,J.J. Taylor,RB,HOU,4.119114564934487,-122.34926272530977
442,13,Marquez Valdes-Scantling,WR,PIT,4.214388279455532,-122.70878198988355
443,13,Chris Moore,WR,WAS,4.212559810881071,-122.73986595564938
444,13,Philip Rivers,QB,IND,9.460510870706624,-122.8310192784402
445,13,Brashard Smith,RB,KC,4.085740481930886,-122.91662213637099
446,13,Israel Abanikanda,RB,NYJ,4.081002590367532,-122.99716629294801
447,13,Mitchell Wilcox,TE,CIN,2.040369902099232,-123.35379719419814
448,13,Tyrod Taylor,QB,NYJ,9.411624909848316,-123.66208061303145
449,13,Jalen Guyton,WR,LAC,4.156690244994791,-123.68964857571615
450,13,C.J. Uzomah,TE,PHI,2.001666139861636,-124.01176115223727
451,13,Jahan Dotson,WR,PHI,4.13366458882896,-124.08108473053527
452,13,Patrick Taylor,RB,SF,4.01189739907987,-124.17195454483827
453,13,Corey Kiner,RB,ARI,3.997203108441039,-124.4217574856984
454,13,Joe Milton III,QB,DAL,9.357690712396328,-124.57896196971522
455,13,Tucker Fisk,TE,LAC,1.9477376516128064,-124.92854545246738
456,13,Stephen Sullivan,TE,CAR,1.9356857786933048,-125.1334272920989
457,13,Brevyn Spann-Ford,TE,DAL,1.9340378529356688,-125.16144202997872
458,13,Jack Stoll,TE,NO,1.924529590342204,-125.3230824940676
459,13,Rashaad Penny,RB,PHI,3.9413367871567098,-125.371484947532
460,13,Xavier Hutchinson,WR,HOU,4.050457774686089,-125.49560057096407
461,13,AJ Dillon,RB,PHI,3.90600115127446,-125.97219075753024
462,13,Jashaun Corbin,RB,NYG,3.8857812316011535,-126.31592939197644
463,13,Isaiah Bond,WR,CLE,3.9922368183301087,-126.48535682901574
464,13,Clyde Edwards-Helaire,RB,KC,3.8752279100430815,-126.49533585846368
465,13,Kevin Rader,TE,TEN,1.825127556752783,-127.01291706508778
466,13,Eric Saubert,TE,SEA,1.811110830148428,-127.25120141736181
467,13,Darius Cooper,WR,PHI,3.944747765411023,-127.2926707286402
468,13,Pharaoh Brown,TE,ARI,1.803475115385364,-127.3810085683339
469,13,Ross Dwelley,TE,DET,1.801666139861636,-127.41176115223726
470,13,Josiah Deguara,TE,ARI,1.796918154888084,-127.49247689678765
471,13,Bo Melton,WR,GB,3.930193699581453,-127.54008984774289
472,13,Blake Whiteheart,TE,CLE,1.7932030800725318,-127.55563316865204
473,13,Kyle Williams,WR,NE,3.9168486592466136,-127.76695553343517
474,13,Isaiah Hodgins,WR,NYG,3.914262647761187,-127.81091772868741
475,13,Trey Palmer,WR,TB,3.88829805595023,-128.2523157894737
476,13,Robert Tonyan,TE,KC,1.7513329118893088,-128.26742602776685
477,13,Jamaal Williams,RB,NO,3.760993948944837,-128.43731319713385
478,13,Mike Woods,WR,CLE,3.87608847135748,-128.45987872755043
479,13,Jeremy McNichols,RB,WAS,3.7546642585746257,-128.54491793342743
480,13,Anthony McFarland,RB,PIT,3.752447898267821,-128.5825960586431
481,13,Charlie Woerner,TE,ATL,1.7327698272020542,-128.58299846745015
482,13,Tank Bigsby,RB,JAX,3.7504230392706255,-128.6170186615954
483,13,Michael Bandy,WR,DEN,3.86634821161722,-128.62546314313485
484,13,Rod Williams,TE,PIT,1.7020506336758598,-129.10522475739546
485,13,David Martin-Robinson,TE,TEN,1.688390652015792,-129.3374444456166
486,13,Zamir White,RB,LV,3.701860346387825,-129.44258444060304
487,13,Derrick Gore,RB,WAS,3.696892342712265,-129.52704050308756
488,13,Matt Breida,RB,NYG,3.693906242114781,-129.57780421324478
489,13,Ollie Gordon II,RB,MIA,3.6857404819308863,-129.716622136371
490,13,Malik Davis,RB,DAL,3.6807077108476713,-129.80217924478563
491,13,DJ Giddens,RB,IND,3.661093734946399,-130.13561683510727
492,13,Malik Heath,WR,GB,3.773784820450124,-130.1990407929755
493,13,Marvin Jones,WR,DET,3.763697318493228,-130.37052832624272
494,13,Chris Evans,RB,CIN,3.64133678715671,-130.471484947532
495,13,Brandon Bolden,RB,LV,3.615639189491853,-130.90834410783455
496,13,Ty Chandler,RB,MIN,3.610702262237629,-130.99227187115636
497,13,Ronnie Bell,WR,NO,3.722002004320368,-131.07934866718134
498,13,Sean McKeon,TE,DAL,1.5804755884132984,-131.172000526859
499,13,Aaron Shampklin,RB,PIT,3.5968923427122657,-131.22704050308752
500,13,Marcedes Lewis,TE,DEN,1.5639254576547876,-131.4533527497537
501,13,Lynn Bowden,WR,NO,3.6883552274951623,-131.65134387320984
502,13,Justin Watson,WR,HOU,3.684383927818776,-131.7188559677084
503,13,Khalil Herbert,RB,NYJ,3.566824443659129,-131.73819478699085
504,13,Roschon Johnson,RB,CHI,3.562581546341029,-131.81032404139856
505,13,Equanimeous St. Brown,WR,CHI,3.6669975622665705,-132.0144241820959
506,13,Darrynton Evans,RB,CHI,3.548617775723877,-132.04770814189015
507,13,Tyler Huntley,QB,BAL,8.917171325540933,-132.06779154625696
508,13,Ryan Tannehill,QB,TEN,8.901639855757306,-132.33182653257862
509,13,Robbie Chosen,WR,WAS,3.6460608240582673,-132.37034873163705
510,13,Nick Bawden,RB,NYJ,3.514335923700866,-132.63049962628133
511,13,Jimmy Horn Jr.,WR,CAR,3.6148108240582673,-132.90159873163705
512,13,Alex Armah,RB,WAS,3.497203108441039,-132.92175748569838
513,13,Chase Claypool,WR,CHI,3.6092827363685656,-132.995576222362
514,13,Chris Manhertz,TE,NYG,1.4667377580828758,-133.1055436424762
515,13,Elijah Cooks,WR,JAX,3.593697318493228,-133.2605283262427
516,13,Dante Pettis,WR,NO,3.5800896902241943,-133.4918580068163
517,13,Jack Bech,WR,LV,3.5768486592466138,-133.54695553343515
518,13,Cordarrelle Patterson,RB,PIT,3.451579166494628,-133.69736449878738
